Implementation,MessageSize,Threads,Throughput_Gbps,Latency_us,Cycles,ContextSwitches,LLCMisses,L1Misses
a1,1024,1,0.194916,42.028427,24181322,1,82378,275070
a1,1024,2,0.679006,12.064695,51500527,5,179421,573818
a1,1024,4,1.384022,5.918980,97026245,18,361521,1122271
a1,1024,8,2.664217,3.074825,245376743,49,878549,3726009
a1,16384,1,5.090520,25.748253,42153700,4,386032,1439769
a1,16384,2,10.221739,12.822866,81288058,5,696834,2850703
a1,16384,4,19.305427,6.789386,165282289,30,1316159,5730479
a1,16384,8,22.400269,5.851358,391260429,68,2311479,12768779
a1,65536,1,18.065502,29.021502,55665619,3,970920,4077505
a1,65536,2,32.920742,15.925765,130218853,2,1924662,8417536
a1,65536,4,54.139132,9.684086,300460108,40,3598334,16987684
a1,65536,8,96.308994,5.443811,769403615,140,7172318,34288584
a1,262144,1,21.879794,95.848799,200473496,98,2538692,14512426
a1,262144,2,35.348531,59.327841,543307838,187,5515685,29876280
a1,262144,4,59.175468,35.439551,1791324827,163,10715723,61048671
a1,262144,8,61.223007,34.254313,6634530146,475,24770389,125755119
a2,1024,1,0.308223,26.578188,27545335,4,117422,359113
a2,1024,2,0.692290,11.833191,56631678,5,197559,686394
a2,1024,4,0.790270,10.366082,112666479,16,415278,1408252
a2,1024,8,2.479393,3.304034,254136113,75,909561,3651590
a2,16384,1,4.884634,26.833534,36679883,4,377525,1393641
a2,16384,2,8.843636,14.821053,84612949,7,715908,2895804
a2,16384,4,18.935550,6.922007,163926629,39,1380425,5745158
a2,16384,8,32.465815,4.037231,380456909,114,2235728,12341682
a2,65536,1,17.063094,30.726433,60328528,8,980784,4130436
a2,65536,2,35.084452,14.943600,115295377,5,1848736,8238376
a2,65536,4,65.313481,8.027256,242861875,12,3648373,16507882
a2,65536,8,104.177761,5.032629,687663330,137,7503929,34700219
a2,262144,1,35.549393,58.992624,171972767,16,3556353,15615414
a2,262144,2,45.224361,46.372175,488447332,66,6353735,30159295
a2,262144,4,48.561047,43.185890,1960114721,171,11153499,60697060
a2,262144,8,53.340406,39.316386,7680936616,685,23470600,125201926
a3,1024,1,0.327810,24.990082,33791102,5,142350,426774
a3,1024,2,0.571966,14.322519,78600670,11,381736,1049060
a3,1024,4,1.160851,7.056892,151197932,30,782245,1969998
a3,1024,8,1.210836,6.765574,366331813,2044,2272925,5388727
a3,16384,1,4.685233,27.975559,50248468,2,391910,1374475
a3,16384,2,8.754980,14.971137,112431400,3,868812,2961754
a3,16384,4,17.989392,7.286072,210989468,9,1668163,5572466
a3,16384,8,30.286031,4.327804,568779553,71,4203586,13874674
a3,65536,1,14.379844,36.459923,91759740,3,1655819,4215685
a3,65536,2,19.025326,27.557373,180044373,7,3098450,8301017
a3,65536,4,46.290354,11.326075,450295956,21,6648452,17829703
a3,65536,8,70.372404,7.450193,1019027292,258,12388609,30706747
a3,262144,1,30.875509,67.922831,228117737,4,6970171,14892385
a3,262144,2,56.814599,36.912203,486739494,9,12747157,30018999
a3,262144,4,57.376800,36.550522,590454561,1255,14404180,24560192
a3,262144,8,54.070824,38.785279,1485509026,3268,17327901,27752403
