Implementation,MessageSize,Threads,Throughput_Gbps,Latency_us,Cycles,ContextSwitches,LLCMisses,L1Misses
a1,1024,1,0.130927,62.569141,26014896,2,102708,290208
a1,1024,2,0.337972,24.238706,48751448,13,198703,562225
a1,1024,4,0.711934,11.506677,107696451,7,348766,1358848
a1,1024,8,1.317601,6.217360,251971002,22,689819,3891184
a1,16384,1,1.905896,68.771839,39582137,2,352224,1446421
a1,16384,2,4.768874,27.484894,82912974,6,724016,2894240
a1,16384,4,8.546634,15.336096,180752828,12,1388185,5956138
a1,16384,8,16.605237,7.893413,364424668,117,2409369,12320782
a1,65536,1,6.458977,81.171989,64156955,14,990954,4065094
a1,65536,2,16.037627,32.691121,132468767,7,2040485,8353929
a1,65536,4,28.405190,18.457472,294310693,58,4048625,16996578
a1,65536,8,3.748504,139.865935,609678773,52,8154289,34173312
a1,262144,1,10.284917,203.905582,192775113,104,3063599,14613751
a1,262144,2,19.571272,107.154608,652749702,97,6717545,30727709
a1,262144,4,32.662591,64.206541,1109154113,365,12351710,59770461
a1,262144,8,51.014282,41.109115,3377742287,598,22932225,123676912
a2,1024,1,0.161232,50.808907,33030240,4,104083,482390
a2,1024,2,0.265869,30.812144,54570409,2,178464,666251
a2,1024,4,0.652350,12.557685,112531222,24,446288,1471248
a2,1024,8,0.061164,133.935064,251493435,6,858142,3527498
a2,16384,1,2.634899,49.744606,36906354,3,357289,1449171
a2,16384,2,4.713028,27.810574,85758224,5,724508,2953598
a2,16384,4,10.014406,13.088346,158875017,5,1310796,5774566
a2,16384,8,14.793444,8.860141,446461360,35,2757072,13967231
a2,65536,1,8.435654,62.151432,60541305,5,1078827,4065206
a2,65536,2,16.768325,31.266570,121481646,9,2062220,8187540
a2,65536,4,29.485132,17.781436,260647622,16,3866667,16581725
a2,65536,8,41.992238,12.485355,687860786,96,8239809,35256786
a2,262144,1,11.076208,189.338446,124841792,125,3050255,14303609
a2,262144,2,20.926213,100.216508,288057741,247,6287349,28734812
a2,262144,4,38.847668,53.983986,957348440,244,12672143,60190534
a2,262144,8,51.400102,40.800542,3666798786,447,24677230,124754757
a3,1024,1,0.169362,48.369884,33796769,3,140390,436610
a3,1024,2,0.341541,23.985386,68218790,3,263916,899120
a3,1024,4,0.664425,12.329459,133228783,9,500607,1742239
a3,1024,8,1.197402,6.841481,358624069,34,1569044,5306147
a3,16384,1,2.343545,55.928946,50460855,1,378699,1274216
a3,16384,2,3.273379,40.041804,105014358,5,802332,2744421
a3,16384,4,7.821781,16.757309,245949803,31,1883686,6200959
a3,16384,8,0.938710,139.629930,553340088,92,4320658,13616915
a3,65536,1,7.081608,74.035168,90962146,6,1646348,4155451
a3,65536,2,12.985501,40.374875,195234529,8,3153718,8484520
a3,65536,4,26.707352,19.630849,357962899,14,6214807,16638786
a3,65536,8,36.119061,14.515549,857228833,281,12317849,30171972
a3,262144,1,13.962872,150.194883,249524109,12,6810335,15079113
a3,262144,2,27.050086,77.528477,471046937,95,13019331,27402771
a3,262144,4,50.863652,41.230857,923829231,187,24660621,55881667
a3,262144,8,78.398997,26.749730,1988567149,846,44189336,101584625
